Tile/Artist,Price,Is_On_Sale,Vinyl_Cover
Kino – Night / Noch (Victor Tsoi),84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-7987243-1452979084-3025-300x300.webp
Aerosmith – “Rocks” (Japan Pressing),84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/04/rocks-300x300.jpg
The Smile – Wall Of Eyes (Ex Radiohead) (Sealed),94 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/02/teh-smile-1-300x300.jpg
"John Coltrane – Blue Train (Reissue, Sealed)",66 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/john1-300x300.webp
Muddy Waters – The Best Of Muddy Waters: Deluxe Edition (Sealed),59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/muddy1-300x300.webp
Commodores – United (USSR),24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/11/commodores-300x300.jpg
Ahmad Jamal Trio – At The Pershing: But Not For Me (remastered),63 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/jamal1-300x300.jpg
Sly & The Family Stone – Life,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/life6-300x300.webp
გია ყანჩელი – N4 და N5 სიმფონიები (დირიჟორი ჯანსუღ კახიძე),119 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/gia6-300x300.webp
მზიური – იმედის გვირილა,49 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/04/mziuri6-300x300.jpg
"AC/DC – Live At Old Waldorf In San Francisco September 3, 1977 (Sealed)",49 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/აცდც1-300x300.webp
Kool & The Gang – In The Heart,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/kool-300x300.webp
Garbage – Not Your Kind Of People (Exclusive),196 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/g8-300x300.webp
Seal – Unplugged 1996 (Sealed),66 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/seal2-300x300.webp
U2 – Rattle And Hum,77 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/hum9-300x300.webp
Yes – Going For The One (Tri-fold),77 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/yes-300x300.webp
Iron Maiden – Iron Maiden,91 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-1466027-1440420386-7656-300x300.webp
Iron Maiden – The Number Of The Beast,91 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/iron6-300x300.webp
Santana – Amigos,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/santana-300x300.webp
Led Zeppelin – Houses Of The Holy (Original UK),91 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/houses-of-the-holly-300x300.webp
Rolling Stones – More Hot Rocks (Big Hits & Fazed Cookies),66 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/rolling-300x300.webp
The Rolling Stones – I Can’t Get No Satisfaction,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/stones-1-300x300.webp
Climax Blues Band – FM / Live,49 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/climax-300x300.webp
Jeff Beck – Wired,52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/beck-300x300.webp
Rush – Power Windows,98 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/rush-300x300.webp
Motörhead – No Sleep ‘Til Hammersmith,63 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/no-sleep-till-300x300.webp
John Lennon – Live In New York City,63 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/john-lenon-live-1-300x300.webp
Zappa – Joe’s Garage Act I,91 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/zappa-300x300.webp
Wings – Wild Life,56 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/wings-300x300.webp
Santana – Santana’s Greatest Hits,63 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/satana-300x300.webp
Efrem Amiramov – Last Debut,28 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/efrem-300x300.webp
Zodiac – Music From The Films,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/zodiac-300x300.webp
Contemporanul – Contemporanul,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/contemporanul-300x300.jpg
"Miles Davis – Volume 1 (Blue Note, Sealed)",84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/Miles-DAVIS2-300x300.jpg
ჯემალ ადამაშვილი – სიმღერები ბავშვებისთვის,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-14325425-1573125417-5283-300x300.jpg
Monomakh – Monomakh,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-660259-1302353600-300x300.jpg
Depeche Mode – Exciter,108 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/09/exciter-6-300x300.jpg
Pesniary – Pesniary (Repress),31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-4878294-1618517322-9076-300x300.jpg
ივერია – ივერია (Repress),38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-5821754-1403633711-9040-300x300.jpg
Alexey Ekimyan – Alexey Ekimyan’s Songs,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/ekimyan-300x300.jpg
მაია თომაძე – არიები ოპერებიდან,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/11/მაია-თომაძე-300x300.jpg
Lolita Torres  – Lolita Torres sings,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-2753381-1320591692-300x300.jpg
Ringo Starr -Ringo’s Rotogravure,52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/01/ringo-300x300.jpg
Chris Botti – Chris Botti Vol. 1 (Sealed),87 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/chris2-300x300.jpg
Paul Mauriat Plays Beatles,56 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-1916249-1539257306-4686-300x300.jpg
გიული ჩოხელი – გიული ჩოხელი,84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/giuli-choxeli-300x300.jpg
ავქსენტი მეგრელიძე – უნიკალური ჩანაწერები,42 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/megrelidze1-copy-300x300.jpg
ABBA ‎- Greatest Hits Vol. 2,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2022/06/abba-300x300.jpeg
Frank Sinatra – Adventures Of The Heart – The Broadway Kick,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/02/R-8759475-1468173586-9014-300x300.jpg
